sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
VAN92-HMS3XX-FRBK0A-N1S1	X0017ZZZOL	B08FT4R4WT		Unknown					0	0	0	0	224		224	0	0
VAN92-HMS3XX-ITBK0A-N1S1	X001880PGZ	B08GQMZDNK		Unknown					0	0	0	0	192		192	0	0
VAN92-HMW10A-GBBK3A-N2S1	X0016EMDAH	B088BWZKC2		Unknown					569	534	27	8	569		0	0	0
VAN92-K500-DEBU0A-N1S1	X0013IXS5Z	B07Z92X755		Unknown					48	0	48	0	48		0	0	0
VAN92-K500-FRPK0A-N1S1	X0013FR30J	B07Z3GRGHH		Unknown					12	0	12	0	12		0	0	0
VAN92-KYHD3X-DEWH0A-N1S1	X0017L4T0L	B08C9X543S		Unknown					0	0	0	0	702		192	510	0
VAN92-L410WX-FRWH2A-N1S1	X00181DRIF	B08G1B3ZGR		Unknown					0	0	0	0	1800		1800	0	0
VAN92-L410XX-GBWH2A-N1S1	X0014TVY7H	B083SLR78K		Unknown					2550	2366	176	8	11259		8706	0	3
VAN92-L430-DEWH0A-N1S2	X0013Y5FUP	B07WHWZXKF		Unknown					140	0	140	0	140		0	0	0
VAN92-L430-ITWH0A-FR1	X001704YYD	B082DXDKML		Unknown					0	0	0	0	0		0	0	0
VAN92-L430-ITWH0A-N1S1	X0014AAPCB	B082DXDKML		Unknown					170	18	151	1	170		0	0	0
VAN92-L430WX-GBWH2A -N1S1	X0016XTNZ1	B089LYYN3Y		Unknown					453	307	3	143	7053		6600	0	0
VAN92-L430WX-GBWH2A -N1S2	X00175SV1F	B089LYYN3Y		Unknown					304	298	0	6	2098		1500	0	294
VAN92-L430XX-DEWH2A-N1S1	X0016ESXN3	B07WHWZXKF		Unknown					5553	5406	33	114	16575		5010	6012	0
VAN92-L430XX-DEWH2A-N1S2	X00184URQH	B07WHWZXKF		Unknown					0	0	0	0	0		0	0	0
VAN92-L430XX-ESWH2A-N1S1	X0016H62PB	B088CXDQ4Q	VANKYO Proyector, Proyector Cine en Casa PortÃ¡til 5000 LÃºmenes 720P Nativo, Soporte Full HD 1080p, Compatible con TV Stick iOS/Android/Disco U. Leisure 430XX	New	129.99	No		Yes	491	490	0	1	491	7270.61	0	0	0
VAN92-L430XX-FRWH2A-N1S1	X0014JTPD7	B0832LMFZN		Unknown					872	817	48	7	872		0	0	0
VAN92-L430XX-FRWH2A-N1S2	X0016RXWDB	B0832LMFZN		Unknown					300	300	0	0	300		0	0	0
VAN92-L430XX-ITWH2A-N1S1	X0016EQDRL	B082DXDKML		Unknown					1907	1876	4	27	7619		5112	600	0
VAN92-L470-DEWH0A-N1S2	X0015IBX3H	B084WQCCH8		Unknown					3798	3370	242	186	6318		1704	600	216
VAN92-L470-FRWH0B-N2S1	X00165E2AZ	B0871ZB8NK		Unknown					770	753	4	13	4322		3552	0	0
VAN92-L470-FRWH0B-N2S2	X0017DM0LJ	B0871ZB8NK		Unknown					0	0	0	0	0		0	0	0
VAN92-L470-ITWH0B-N1S1	X0015R5RML	B085D8V9TV		Unknown					4	0	4	0	4		0	0	0
VAN92-L470-ITWH0B-N1S3	X00164R2KX	B086WW36WC		Unknown					850	848	0	2	1630		780	0	0
VAN92-L47C-FRWH0A-N1SI	X0013SKVNH	B0811C8V4Z		Unknown					1105	940	165	0	1105		0	0	0
VAN92-L47C-FRWH0B-N1SI	X0016L06EF	B0811C8V4Z		Unknown					1098	1068	1	29	8442		7344	0	0
VAN92-L47C-GBWH0A-FR	X0016S55J9	B07YYYX734		Unknown					0	0	0	0	0		0	0	0
VAN92-L47C-GBWH0A-FR2	X0016S4KHR	B07YYYX734		Unknown					0	0	0	0	0		0	0	0
VAN92-L47C-GBWH0A-N1S1	X0013E882H	B07YYYX734		Unknown					71	0	71	0	71		0	0	0
VAN92-L47C-GBWH0A-N1S2	X00147R0I1	B07YYYX734		Unknown					2011	1821	115	75	2917		900	0	6
VAN92-L47C-ITWH0A-FR	X0016UL4QP	B0819NFKL4		Unknown					0	0	0	0	0		0	0	0
VAN92-L47C-ITWH0A-N1S1	X0013VJMXJ	B0819NFKL4	VANKYO Proyector 720P Native 5000 Lumen, Pantalla de 250 " HiFi Speaker, 2 Puertos HDMI, con Bolsa PortÃ¡til, DiseÃ±o Compacto para iOS / Android TV Stick Home Cinema Regalo, Leisure 470C	Unknown					486	360	125	1	786	7128.54	300	0	0
VAN92-L510PW-ITWH0A-N1S1	X0017MR4ED	B08DNBVMMH		Unknown					0	0	0	0	720		720	0	0
VAN92-MM40-GBBK0A-N1S2	X0011SYGWB	B07GZS8GQH		Unknown					249	249	0	0	249		0	0	0
VAN92-MM40-GBBK0A-V1S1	X0012673KT	B07GZS8GQH		Unknown					50	50	0	0	50		0	0	0
VAN92-MM5C-FRBK0A-N1S1	X0016T1RWH	B089GWKGMB		Unknown					0	0	0	0	252		252	0	0
VAN92-MM5C-ITBK0A-N1S1	X0016AGY7T	B087RHV52B		Unknown					0	0	0	0	360		360	0	0
VAN92-MT01-DESV0A-N1S1	X0011ZVD6B	B07VW97Z3B		Unknown					353	347	6	0	353		0	0	0
VAN92-MT01-FRSV0A-N1S1	X00121E52D	B07VYGMFM4		Unknown					35	31	4	0	35		0	0	0
VAN92-MT01-GBSV0A	X00126QZ8F	B07VSNRMQQ		Unknown					2	0	2	0	2		0	0	0
